words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Álvaro Borja Morata Martín-Youssouf Fofana-Youssouf Fofana-Youssouf Fofana-Tijjani Reijnders-Tijjani Reijnders-Tijjani Reijnders-Malick Thiaw-Malick Thiaw-Malick Thiaw-Samuel Chimerenka Chukwueze-Samuel Chimerenka Chukwueze-Samuel Chimerenka Chukwueze-Malick Thiaw-Malick Thiaw-Malick Thiaw-Strahinja Pavlović-Strahinja Pavlović-Strahinja Pavlović-Christian Pulisic,3945064,AC Milan,Won,1,0,First half,1.7514186063623811,0.7370115175724825
Pressure,Álvaro Borja Morata Martín,3945064,AC Milan,Won,1,0,First half,1.7514186063623811,0.7370115175724825
Ball Recovery-Carry,Youssouf Fofana-Youssouf Fofana,3945064,AC Milan,Won,1,0,First half,1.7514186063623811,0.7370115175724825
Dispossessed,Youssouf Fofana,3945064,AC Milan,Won,1,0,First half,1.7514186063623811,0.7370115175724825
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Pressure-Ball Receipt,Filippo Terracciano-Filippo Terracciano-Filippo Terracciano-Samuel Chimerenka Chukwueze-Samuel Chimerenka Chukwueze-Samuel Chimerenka Chukwueze-Álvaro Borja Morata Martín-Álvaro Borja Morata Martín,3945064,AC Milan,Won,1,0,First half,1.7514186063623811,0.7370115175724825
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Samuel Chimerenka Chukwueze-Malick Thiaw-Malick Thiaw-Malick Thiaw-Strahinja Pavlović-Strahinja Pavlović-Strahinja Pavlović-Álvaro Borja Morata Martín-Álvaro Borja Morata Martín,3945064,AC Milan,Won,1,0,First half,1.7514186063623811,0.7370115175724825
Pass-Ball Receipt-Carry,Álvaro Borja Morata Martín-Theo Bernard François Hernández-Theo Bernard François Hernández,3945064,AC Milan,Won,1,0,First half,1.7514186063623811,0.7370115175724825
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Theo Bernard François Hernández-Tijjani Reijnders-Tijjani Reijnders-Tijjani Reijnders-Strahinja Pavlović-Strahinja Pavlović-Strahinja Pavlović-Malick Thiaw-Malick Thiaw-Youssouf Fofana-Youssouf Fofana-Malick Thiaw-Malick Thiaw-Malick Thiaw-Mike Maignan-Mike Maignan-Mike Maignan-Filippo Terracciano-Filippo Terracciano-Filippo Terracciano,3945064,AC Milan,Won,1,0,First half,1.7514186063623811,0.7370115175724825
Ball Receipt-Pass-Ball Receipt,Malick Thiaw-Malick Thiaw-Theo Bernard François Hernández,3945064,AC Milan,Won,1,0,First half,1.7514186063623811,0.7370115175724825
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Theo Bernard François Hernández-Tijjani Reijnders-Tijjani Reijnders-Noah Okafor-Noah Okafor-Noah Okafor-Tijjani Reijnders-Tijjani Reijnders,3945064,AC Milan,Won,1,0,First half,1.7514186063623811,0.7370115175724825
Pass-Ball Receipt-Carry,Tijjani Reijnders-Theo Bernard François Hernández-Theo Bernard François Hernández,3945064,AC Milan,Won,1,0,First half,1.7514186063623811,0.7370115175724825
Pass-Ball Receipt,Theo Bernard François Hernández-Filippo Terracciano,3945064,AC Milan,Won,1,0,First half,1.7514186063623811,0.7370115175724825
Pressure,Malick Thiaw,3945064,AC Milan,Won,1,0,First half,1.7514186063623811,0.7370115175724825
Dribbled Past,Malick Thiaw,3945064,AC Milan,Won,1,0,First half,1.7514186063623811,0.7370115175724825
Interception-Carry-Pass-Ball Receipt-Carry,Theo Bernard François Hernández-Theo Bernard François Hernández-Theo Bernard François Hernández-Youssouf Fofana-Youssouf Fofana,3945064,AC Milan,Won,1,0,First half,1.7514186063623811,0.7370115175724825
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Shot,Youssouf Fofana-Christian Pulisic-Christian Pulisic-Christian Pulisic-Filippo Terracciano-Filippo Terracciano-Filippo Terracciano-Samuel Chimerenka Chukwueze-Samuel Chimerenka Chukwueze-Samuel Chimerenka Chukwueze,3945064,AC Milan,Won,1,0,First half,1.7514186063623811,0.7370115175724825
Pressure,Youssouf Fofana,3945064,AC Milan,Won,1,0,First half,1.7514186063623811,0.7370115175724825
Pressure,Strahinja Pavlović,3945064,AC Milan,Won,1,0,First half,1.7514186063623811,0.7370115175724825
Duel,Strahinja Pavlović,3945064,AC Milan,Won,1,0,First half,1.7514186063623811,0.7370115175724825
Pass-Ball Receipt-Carry-Pass,Youssouf Fofana-Malick Thiaw-Malick Thiaw-Malick Thiaw,3945064,AC Milan,Won,1,0,First half,1.7514186063623811,0.7370115175724825
Ball Receipt,Tijjani Reijnders,3945064,AC Milan,Won,1,0,First half,1.7514186063623811,0.7370115175724825
Ball Recovery-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Mike Maignan-Mike Maignan-Strahinja Pavlović-Strahinja Pavlović-Youssouf Fofana-Youssouf Fofana-Youssouf Fofana-Tijjani Reijnders-Tijjani Reijnders-Tijjani Reijnders-Filippo Terracciano-Filippo Terracciano-Filippo Terracciano,3945064,AC Milan,Won,1,0,First half,1.7514186063623811,0.7370115175724825
Ball Receipt-Pass-Ball Receipt-Carry,Samuel Chimerenka Chukwueze-Samuel Chimerenka Chukwueze-Malick Thiaw-Malick Thiaw,3945064,AC Milan,Won,1,0,First half,1.7514186063623811,0.7370115175724825
Pass,Malick Thiaw,3945064,AC Milan,Won,1,0,First half,1.7514186063623811,0.7370115175724825
Ball Receipt-Pass,Theo Bernard François Hernández-Theo Bernard François Hernández,3945064,AC Milan,Won,1,0,First half,1.7514186063623811,0.7370115175724825
Ball Receipt-Carry-Pass,Álvaro Borja Morata Martín-Álvaro Borja Morata Martín-Álvaro Borja Morata Martín,3945064,AC Milan,Won,1,0,First half,1.7514186063623811,0.7370115175724825
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Noah Okafor-Noah Okafor-Theo Bernard François Hernández-Theo Bernard François Hernández-Theo Bernard François Hernández-Christian Pulisic,3945064,AC Milan,Won,1,0,First half,1.7514186063623811,0.7370115175724825
Pressure,Álvaro Borja Morata Martín,3945064,AC Milan,Won,1,0,First half,1.7514186063623811,0.7370115175724825
Pressure,Noah Okafor,3945064,AC Milan,Won,1,0,First half,1.7514186063623811,0.7370115175724825
Pressure,Strahinja Pavlović,3945064,AC Milan,Won,1,0,First half,1.7514186063623811,0.7370115175724825
