words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Serge Gnabry-Manuel Neuer-Manuel Neuer-Manuel Neuer-Harry Kane,3949646,Bayern Munich,Won,2,1,First half,1.6791554120466226,0.764619855665454
Pressure,Jamal Musiala,3949646,Bayern Munich,Won,2,1,First half,1.6791554120466226,0.764619855665454
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt,Min Jae Kim-Joshua Kimmich-Joshua Kimmich-Joshua Kimmich-Aleksandar Pavlović-Aleksandar Pavlović-Aleksandar Pavlović-Min Jae Kim-Min Jae Kim-Min Jae Kim-Manuel Neuer-Manuel Neuer-Manuel Neuer-Eric Dier-Eric Dier-Eric Dier-Raphaël Adelino José Guerreiro-Raphaël Adelino José Guerreiro-Jamal Musiala,3949646,Bayern Munich,Won,2,1,First half,1.6791554120466226,0.764619855665454
Pass,Eric Dier,3949646,Bayern Munich,Won,2,1,First half,1.6791554120466226,0.764619855665454
Ball Receipt,Raphaël Adelino José Guerreiro,3949646,Bayern Munich,Won,2,1,First half,1.6791554120466226,0.764619855665454
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Raphaël Adelino José Guerreiro-Jamal Musiala-Jamal Musiala-Jamal Musiala-Aleksandar Pavlović-Aleksandar Pavlović-Aleksandar Pavlović-Min Jae Kim-Min Jae Kim,3949646,Bayern Munich,Won,2,1,First half,1.6791554120466226,0.764619855665454
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Min Jae Kim-Manuel Neuer-Manuel Neuer-Manuel Neuer-Eric Dier-Eric Dier-Eric Dier-Aleksandar Pavlović-Aleksandar Pavlović,3949646,Bayern Munich,Won,2,1,First half,1.6791554120466226,0.764619855665454
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Aleksandar Pavlović-Eric Dier-Eric Dier-Eric Dier-Harry Kane-Harry Kane,3949646,Bayern Munich,Won,2,1,First half,1.6791554120466226,0.764619855665454
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass,Harry Kane-Eric Dier-Eric Dier-Eric Dier-Raphaël Adelino José Guerreiro-Raphaël Adelino José Guerreiro-Raphaël Adelino José Guerreiro-Eric Dier-Eric Dier,3949646,Bayern Munich,Won,2,1,First half,1.6791554120466226,0.764619855665454
Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Aleksandar Pavlović-Aleksandar Pavlović-Manuel Neuer-Manuel Neuer-Eric Dier-Eric Dier-Eric Dier-Joshua Kimmich-Joshua Kimmich-Joshua Kimmich-Eric Dier-Eric Dier-Leon Goretzka-Leon Goretzka-Leon Goretzka-Raphaël Adelino José Guerreiro-Raphaël Adelino José Guerreiro-Leon Goretzka-Leon Goretzka-Leon Goretzka-Aleksandar Pavlović-Aleksandar Pavlović-Leon Goretzka-Leon Goretzka-Leon Goretzka-Min Jae Kim-Min Jae Kim-Min Jae Kim-Leroy Sané-Leroy Sané-Leroy Sané-Joshua Kimmich,3949646,Bayern Munich,Won,2,1,First half,1.6791554120466226,0.764619855665454
Pass-Ball Receipt-Carry,Eric Dier-Raphaël Adelino José Guerreiro-Raphaël Adelino José Guerreiro,3949646,Bayern Munich,Won,2,1,First half,1.6791554120466226,0.764619855665454
Pass-Ball Receipt,Raphaël Adelino José Guerreiro-Eric Dier,3949646,Bayern Munich,Won,2,1,First half,1.6791554120466226,0.764619855665454
Pass-Ball Receipt,Eric Dier-Manuel Neuer,3949646,Bayern Munich,Won,2,1,First half,1.6791554120466226,0.764619855665454
Pass-Ball Receipt-Pass,Manuel Neuer-Leroy Sané-Leroy Sané,3949646,Bayern Munich,Won,2,1,First half,1.6791554120466226,0.764619855665454
Ball Receipt-Pass,Joshua Kimmich-Joshua Kimmich,3949646,Bayern Munich,Won,2,1,First half,1.6791554120466226,0.764619855665454
Ball Receipt-Carry-Dribble,Harry Kane-Harry Kane-Harry Kane,3949646,Bayern Munich,Won,2,1,First half,1.6791554120466226,0.764619855665454
Ball Recovery-Carry,Leroy Sané-Leroy Sané,3949646,Bayern Munich,Won,2,1,First half,1.6791554120466226,0.764619855665454
